"NORDEN"	"IDHOGAR"	"TMUNI"	"NHOGAR"	"EHOGAR"	"SEXO"	"EDAD"	"NACIONALIDAD"	"ESTUDIANTE"	"REGLADO"	"NOREGLADO"	"NEST"	"NEST2"	"C01"	"C03"	"C04"	"MCL"	"C08"	"C09A"	"C10"	"C11A"	"C12"	"C13A"	"C14"	"C15A"	"C16"	"C17A"	"C18"	"C19A"	"C20"	"C21A"	"C22"	"C23A"	"C24"	"C25A"	"C26"	"C27A"	"C28A"	"C29A"	"C31A"	"C33A"	"C34A"	"DLIB"	"LIB"	"D42"	"D43"	"D44"	"D45"	"D47"	"D48"	"D50"	"D51"	"D53"	"D54"	"D56"	"D57"	"GTT"	"GTS"	"GTSR"	"GTSNR"	"GTB"	"E59"	"E60R1"	"E60R2"	"E60R3"	"E60R4"	"E60R5"	"E60R6"	"E61R1"	"E61R2"	"E61R3"	"E61R4"	"E61R5"	"E61R6"	"E61R7"	"E62R1"	"E62R2"	"E62R3"	"E62R4"	"FACTOR"
"0042462"	"2321"	"2"	" 5"	" 2"	"2"	"054"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	665.55883
"0042478"	"2321"	"2"	" 5"	" 2"	"1"	"018"	"1"	"1"	"1"	"0"	"4"	"09"	"1"	"2"	" "	36	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"1"	30	" "	NA	"1"	40	"2"	NA	"1"	1400	"2"	NA	1506	36	36	NA	1470	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	" "	" "	" "	665.55883
"0042484"	"2321"	"2"	" 5"	" 2"	"2"	"023"	"1"	"1"	"1"	"0"	"4"	"08"	"1"	"4"	" "	2000	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"1"	48	" "	NA	"1"	300	"1"	100	"2"	NA	"1"	1500	3948	2000	2000	NA	1948	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	" "	" "	" "	665.55883
"0042497"	"2321"	"2"	" 5"	" 2"	"1"	"086"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	665.55883
"0042522"	"2322"	"2"	" 4"	" 2"	"2"	"054"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	688.363132
"0042538"	"2322"	"2"	" 4"	" 2"	"1"	"055"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	688.363132
"0042543"	"2322"	"2"	" 4"	" 2"	"2"	"023"	"1"	"1"	"1"	"1"	"4"	"08"	"1"	"3"	" "	185	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	385	"2"	NA	"1"	50	" "	NA	"1"	50	"2"	NA	"2"	NA	"2"	NA	670	570	185	385	100	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	688.363132
"0042556"	"2322"	"2"	" 4"	" 2"	"2"	"020"	"1"	"1"	"1"	"1"	"4"	"08"	"1"	"4"	" "	3103	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	95	"2"	NA	"1"	120	" "	NA	"1"	50	"1"	30	"2"	NA	"2"	NA	3398	3198	3103	95	200	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	688.363132
"0042569"	"2323"	"2"	" 3"	" 2"	"2"	"047"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	642.03446
"0042575"	"2323"	"2"	" 3"	" 2"	"2"	"017"	"1"	"1"	"1"	"0"	"3"	"05"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"1"	25	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	95	"2"	NA	"2"	NA	"1"	30	"2"	NA	"2"	NA	"2"	NA	150	25	25	NA	125	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	642.03446
"0042581"	"2323"	"2"	" 3"	" 2"	"1"	"014"	"1"	"1"	"1"	"0"	"3"	"04"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"1"	6	"2"	NA	"1"	300	NA	NA	NA	NA	NA	"1"	60	"2"	NA	"2"	NA	"1"	30	"2"	NA	"2"	NA	"2"	NA	396	306	306	NA	90	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	642.03446
"0042594"	"2324"	"2"	" 4"	" 2"	"1"	"056"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	397.947317
"0042608"	"2324"	"2"	" 4"	" 2"	"2"	"047"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	397.947317
"0042615"	"2324"	"2"	" 4"	" 2"	"1"	"014"	"1"	"1"	"1"	"1"	"3"	"04"	"1"	"1"	" "	26	"2"	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"1"	9	"2"	NA	"2"	NA	NA	420	NA	NA	NA	"1"	230	"2"	NA	"2"	NA	"1"	70	"2"	NA	"2"	NA	"2"	NA	755	455	35	420	300	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	397.947317
"0042620"	"2324"	"2"	" 4"	" 2"	"2"	"012"	"1"	"1"	"1"	"0"	"3"	"04"	"1"	"1"	" "	25	"2"	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"1"	6	"1"	9	"2"	NA	"1"	192	NA	NA	NA	NA	NA	"1"	80	"2"	NA	"1"	48	"1"	70	"2"	NA	"2"	NA	"2"	NA	430	232	232	NA	198	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	397.947317
"0042654"	"2325"	"2"	" 4"	" 3"	"2"	"052"	"1"	"1"	"0"	"1"	"5"	"11"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	150	NA	"1"	90	"2"	NA	" "	NA	"1"	30	"1"	30	"2"	NA	"2"	NA	300	150	NA	150	150	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	870.02708
"0042667"	"2325"	"2"	" 4"	" 3"	"1"	"054"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	870.02708
"0042673"	"2325"	"2"	" 4"	" 3"	"1"	"023"	"1"	"1"	"1"	"0"	"4"	"09"	"1"	"2"	" "	0	"2"	NA	" "	NA	"1"	1050	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	50	"1"	30	" "	NA	"1"	20	"1"	50	"2"	NA	"2"	NA	1200	1050	1050	NA	150	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	870.02708
"0042689"	"2325"	"2"	" 4"	" 3"	"2"	"020"	"1"	"1"	"1"	"0"	"4"	"08"	"1"	"4"	" "	2473	"2"	NA	" "	NA	"1"	1620	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	300	"1"	100	" "	NA	"1"	30	"1"	200	"2"	NA	"1"	150	4873	4093	4093	NA	780	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	" "	" "	" "	870.02708
"0042728"	"2326"	"1"	" 4"	" 2"	"2"	"040"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	878.755357
"0042734"	"2326"	"1"	" 4"	" 2"	"1"	"043"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	878.755357
"0042749"	"2326"	"1"	" 4"	" 2"	"2"	"004"	"1"	"1"	"1"	"0"	"1"	"02"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	13	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"1"	25	"2"	NA	"1"	25	"2"	NA	"2"	NA	"2"	NA	63	13	13	NA	50	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	878.755357
"0042752"	"2326"	"1"	" 4"	" 2"	"1"	"007"	"1"	"1"	"1"	"0"	"2"	"03"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	12	"2"	NA	"1"	150	NA	NA	NA	NA	NA	"1"	100	"1"	25	"2"	NA	"1"	100	"2"	NA	"2"	NA	"2"	NA	387	162	162	NA	225	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	878.755357
"0042765"	"2327"	"1"	" 4"	" 3"	"1"	"045"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	700.150843
"0042771"	"2327"	"1"	" 4"	" 3"	"2"	"045"	"1"	"1"	"1"	"0"	"4"	"08"	"1"	"2"	" "	500	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	125	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	625	500	500	NA	125	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	700.150843
"0042787"	"2327"	"1"	" 4"	" 3"	"2"	"013"	"1"	"1"	"1"	"0"	"3"	"04"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"1"	20	"1"	15	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	130	"1"	15	"2"	NA	"1"	20	"2"	NA	"2"	NA	"2"	NA	200	35	35	NA	165	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	700.150843
