"NORDEN"	"IDHOGAR"	"TMUNI"	"NHOGAR"	"EHOGAR"	"SEXO"	"EDAD"	"NACIONALIDAD"	"ESTUDIANTE"	"REGLADO"	"NOREGLADO"	"NEST"	"NEST2"	"C01"	"C03"	"C04"	"MCL"	"C08"	"C09A"	"C10"	"C11A"	"C12"	"C13A"	"C14"	"C15A"	"C16"	"C17A"	"C18"	"C19A"	"C20"	"C21A"	"C22"	"C23A"	"C24"	"C25A"	"C26"	"C27A"	"C28A"	"C29A"	"C31A"	"C33A"	"C34A"	"DLIB"	"LIB"	"D42"	"D43"	"D44"	"D45"	"D47"	"D48"	"D50"	"D51"	"D53"	"D54"	"D56"	"D57"	"GTT"	"GTS"	"GTSR"	"GTSNR"	"GTB"	"E59"	"E60R1"	"E60R2"	"E60R3"	"E60R4"	"E60R5"	"E60R6"	"E61R1"	"E61R2"	"E61R3"	"E61R4"	"E61R5"	"E61R6"	"E61R7"	"E62R1"	"E62R2"	"E62R3"	"E62R4"	"FACTOR"
"0006471"	"0690"	"4"	" 2"	" 2"	"2"	"006"	"1"	"1"	"1"	"0"	"2"	"03"	"1"	"1"	" "	0	"1"	360	"2"	NA	"2"	NA	"1"	120	"2"	NA	"1"	330	"1"	40	"1"	12	"1"	11	"2"	NA	NA	NA	NA	NA	NA	"1"	0	"2"	NA	"1"	18	"1"	35	"1"	60	"2"	NA	"2"	NA	986	873	873	NA	113	"1"	" "	"1"	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2753.252748
"0006487"	"0691"	"4"	" 2"	" 1"	"2"	"075"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3536.908537
"0006490"	"0691"	"4"	" 2"	" 1"	"2"	"035"	"1"	"1"	"0"	"1"	"5"	"11"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	420	NA	"1"	100	"1"	100	" "	NA	"1"	20	"2"	NA	"1"	35	"2"	NA	675	420	NA	420	255	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3536.908537
"0006503"	"0692"	"4"	" 4"	" 3"	"1"	"057"	"1"	"1"	"0"	"1"	"5"	"11"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	540	NA	NA	NA	"2"	NA	"2"	NA	" "	NA	"1"	10	"2"	NA	"2"	NA	"2"	NA	550	540	NA	540	10	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2460.327821
"0006510"	"0692"	"4"	" 4"	" 3"	"2"	"057"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2460.327821
"0006525"	"0692"	"4"	" 4"	" 3"	"1"	"027"	"1"	"1"	"1"	"0"	"4"	"08"	"3"	"4"	" "	6000	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	150	"1"	100	" "	NA	"2"	NA	"1"	90	"2"	NA	"2"	NA	6340	6000	6000	NA	340	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2460.327821
"0006531"	"0692"	"4"	" 4"	" 3"	"2"	"023"	"1"	"1"	"1"	"1"	"4"	"08"	"1"	"1"	" "	600	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	354	NA	NA	NA	"1"	200	"1"	50	" "	NA	"1"	25	"1"	90	"2"	NA	"2"	NA	1319	954	600	354	365	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2460.327821
"0006546"	"0693"	"4"	" 2"	" 2"	"2"	"049"	"1"	"1"	"1"	"0"	"4"	"08"	"1"	"1"	" "	0	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"1"	5	" "	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	5	0	0	NA	5	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	" "	" "	"1"	2019.098524
"0006559"	"0693"	"4"	" 2"	" 2"	"1"	"015"	"1"	"1"	"1"	"1"	"3"	"04"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	210	NA	210	NA	NA	NA	"2"	NA	"2"	NA	"1"	40	"2"	NA	"2"	NA	"2"	NA	"2"	NA	460	420	210	210	40	"1"	"1"	" "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2019.098524
"0006584"	"0694"	"4"	" 2"	" 1"	"2"	"051"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2657.555345
"0006597"	"0694"	"4"	" 2"	" 1"	"2"	"023"	"1"	"1"	"1"	"1"	"4"	"08"	"1"	"4"	" "	1000	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"1"	500	NA	400	NA	NA	NA	"1"	400	"1"	40	" "	NA	"1"	40	"1"	150	"1"	300	"2"	NA	2830	1900	1500	400	930	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2657.555345
"0030377"	"0695"	"2"	" 3"	" 1"	"2"	"044"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3392.632485
"0030383"	"0695"	"2"	" 3"	" 1"	"1"	"049"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3392.632485
"0030396"	"0695"	"2"	" 3"	" 1"	"1"	"012"	"1"	"1"	"1"	"1"	"3"	"04"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"1"	67	"1"	10	"2"	NA	"2"	NA	NA	360	NA	NA	NA	"1"	27	"1"	20	"1"	50	"1"	67	"2"	NA	"1"	549	"2"	NA	1150	437	77	360	713	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3392.632485
"0030400"	"0696"	"2"	" 4"	" 2"	"1"	"050"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3854.342656
"0030417"	"0696"	"2"	" 4"	" 2"	"2"	"047"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3854.342656
"0030422"	"0696"	"2"	" 4"	" 2"	"1"	"023"	"1"	"1"	"1"	"0"	"4"	"08"	"1"	"3"	" "	800	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"1"	40	" "	NA	"1"	10	"2"	NA	"2"	NA	"2"	NA	850	800	800	NA	50	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	" "	" "	" "	3854.342656
"0030438"	"0696"	"2"	" 4"	" 2"	"1"	"019"	"1"	"1"	"1"	"0"	"4"	"08"	"1"	"3"	" "	800	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"1"	100	" "	NA	"1"	50	"2"	NA	"2"	NA	"2"	NA	950	800	800	NA	150	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"1"	" "	" "	3854.342656
"0030443"	"0697"	"2"	" 4"	" 2"	"1"	"036"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2356.73936
"0030456"	"0697"	"2"	" 4"	" 2"	"2"	"037"	"1"	"1"	"0"	"1"	"5"	"11"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	3500	"1"	250	"1"	210	" "	NA	"1"	10	"2"	NA	"2"	NA	"2"	NA	3970	3500	NA	3500	470	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2356.73936
"0030469"	"0697"	"2"	" 4"	" 2"	"1"	"004"	"1"	"1"	"1"	"0"	"1"	"02"	"1"	"1"	" "	120	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	0	"1"	50	"2"	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	78	"2"	NA	"1"	120	"1"	90	"2"	NA	"2"	NA	"2"	NA	458	170	170	NA	288	"1"	"1"	" "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2356.73936
"0030475"	"0697"	"2"	" 4"	" 2"	"1"	"001"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2356.73936
"0050953"	"0698"	"1"	" 2"	" 1"	"2"	"047"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2188.898335
"0050966"	"0698"	"1"	" 2"	" 1"	"1"	"013"	"1"	"1"	"1"	"1"	"3"	"04"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	" "	NA	"1"	0	"1"	360	"1"	30	"2"	NA	"1"	1800	"1"	1200	NA	300	NA	NA	NA	"1"	0	"1"	180	"2"	NA	"1"	230	"2"	NA	"1"	380	"2"	NA	4480	3690	3390	300	790	"1"	" "	" "	" "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2188.898335
"0050972"	"0699"	"1"	" 4"	" 2"	"1"	"066"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2513.639664
"0050988"	"0699"	"1"	" 4"	" 2"	"2"	"058"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2513.639664
"0050991"	"0699"	"1"	" 4"	" 2"	"2"	"021"	"1"	"1"	"1"	"0"	"4"	"10"	"1"	"3"	" "	12	"2"	NA	" "	NA	"1"	1200	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"1"	1200	NA	NA	NA	NA	NA	"1"	150	"1"	50	" "	NA	"1"	50	"2"	NA	"2"	NA	"1"	500	3162	2412	2412	NA	750	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	" "	" "	" "	2513.639664
"0051005"	"0699"	"1"	" 4"	" 2"	"2"	"020"	"1"	"1"	"1"	"0"	"4"	"08"	"1"	"3"	" "	14	"1"	480	" "	NA	"1"	2100	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"1"	1200	NA	NA	NA	NA	NA	"1"	40	"1"	40	" "	NA	"1"	50	"1"	300	"2"	NA	"2"	NA	4224	3794	3794	NA	430	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	" "	" "	" "	2513.639664
"0051012"	"0700"	"1"	" 3"	" 1"	"1"	"042"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3464.715679
"0051027"	"0700"	"1"	" 3"	" 1"	"2"	"039"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3464.715679
"0051033"	"0700"	"1"	" 3"	" 1"	"1"	"006"	"1"	"1"	"1"	"0"	"2"	"03"	"1"	"1"	" "	0	"1"	480	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	20	"1"	10	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	0	"2"	NA	"1"	35	"1"	150	"2"	NA	"2"	NA	"2"	NA	695	510	510	NA	185	"1"	" "	" "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3464.715679
"0051048"	"0701"	"1"	" 4"	" 1"	"1"	"037"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2644.955944
"0051051"	"0701"	"1"	" 4"	" 1"	"2"	"034"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2644.955944
"0051064"	"0701"	"1"	" 4"	" 1"	"2"	"003"	"1"	"1"	"1"	"0"	"1"	"02"	"1"	"1"	" "	0	"1"	0	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	30	"2"	NA	"2"	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	80	"2"	NA	"1"	20	"1"	40	"2"	NA	"2"	NA	"2"	NA	170	30	30	NA	140	"1"	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2644.955944
"0051070"	"0701"	"1"	" 4"	" 1"	"1"	"000"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2644.955944
"0112499"	"0702"	"2"	" 4"	" 2"	"1"	"061"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	4798.577794
"0112502"	"0702"	"2"	" 4"	" 2"	"2"	"058"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	4798.577794
"0112519"	"0702"	"2"	" 4"	" 2"	"1"	"025"	"1"	"1"	"1"	"0"	"4"	"08"	"1"	"4"	" "	7000	"1"	1800	" "	NA	"1"	1200	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"1"	2000	"2"	NA	NA	NA	NA	NA	NA	"1"	400	"1"	100	" "	NA	"1"	50	"2"	NA	"1"	500	"1"	500	13550	12000	12000	NA	1550	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	" "	" "	" "	4798.577794
"0112524"	"0702"	"2"	" 4"	" 2"	"2"	"022"	"1"	"1"	"1"	"0"	"4"	"10"	"1"	"2"	" "	1000	"2"	NA	" "	NA	"1"	3600	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"1"	500	"2"	NA	NA	NA	NA	NA	NA	"1"	450	"1"	200	" "	NA	"1"	100	"2"	NA	"1"	700	"1"	1000	7550	5100	5100	NA	2450	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	4798.577794
"0112530"	"0703"	"2"	" 3"	" 1"	"1"	"058"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	5020.392066
"0112545"	"0703"	"2"	" 3"	" 1"	"2"	"056"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	5020.392066
"0112558"	"0703"	"2"	" 3"	" 1"	"2"	"019"	"1"	"1"	"1"	"0"	"4"	"09"	"1"	"2"	" "	0	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	45	"1"	40	" "	NA	"1"	50	"1"	60	"1"	950	"2"	NA	1145	0	0	NA	1145	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	5020.392066
"0101513"	"0704"	"4"	" 2"	" 1"	"2"	"059"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	4030.991834
"0101528"	"0704"	"4"	" 2"	" 1"	"2"	"021"	"1"	"1"	"0"	"1"	"5"	"11"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	3740	"2"	NA	"2"	NA	" "	NA	"1"	100	"2"	NA	"2"	NA	"2"	NA	3840	3740	NA	3740	100	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	4030.991834
"0101534"	"0705"	"2"	" 4"	" 1"	"1"	"055"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	6244.087852
"0101549"	"0705"	"2"	" 4"	" 1"	"2"	"053"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	6244.087852
"0101552"	"0705"	"2"	" 4"	" 1"	"2"	"026"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	6244.087852
"0101565"	"0705"	"2"	" 4"	" 1"	"2"	"022"	"1"	"1"	"1"	"0"	"4"	"09"	"1"	"2"	" "	0	"2"	NA	" "	NA	"1"	972	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	60	"1"	30	" "	NA	"1"	25	"2"	NA	"1"	399	"2"	NA	1486	972	972	NA	514	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	" "	" "	" "	6244.087852
"0088926"	"0706"	"2"	" 3"	" 2"	"2"	"033"	"1"	"1"	"0"	"1"	"5"	"11"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	720	NA	720	NA	"1"	0	"1"	80	" "	NA	"1"	50	"2"	NA	"2"	NA	"2"	NA	1570	1440	NA	1440	130	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	5713.017614
"0088932"	"0706"	"2"	" 3"	" 2"	"1"	"037"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	5713.017614
"0088947"	"0706"	"2"	" 3"	" 2"	"1"	"002"	"1"	"1"	"1"	"0"	"1"	"01"	"2"	"1"	" "	2480	"1"	258	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	10	"2"	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"2"	NA	"1"	75	"2"	NA	"2"	NA	"2"	NA	"2"	NA	2823	2748	2748	NA	75	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	5713.017614
